Config: 
 {
  "model_name": "dsc_cifar_100p_data_10p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 90.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      15,
      10,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 10.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 45000 samples (90.0% of 50000) 
Valid on 5000 samples (10.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifierDSC(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=15, bias=True)
    (1): Linear(in_features=1039, out_features=10, bias=True)
    (2): Linear(in_features=1049, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 15]          15,375
              ReLU-2                   [-1, 15]               0
            Linear-3                   [-1, 10]          10,400
              ReLU-4                   [-1, 10]               0
            Linear-5                   [-1, 10]          10,500
            Linear-6                   [-1, 10]          10,500
        LogSoftmax-7                   [-1, 10]               0
================================================================
Total params: 46,775
Trainable params: 46,775
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.18
Estimated Total Size (MB): 0.18
----------------------------------------------------------------


Train Epoch: 1 | Loss: 2.078534 | Acc: 0.2968| MSE: 0.0844 || V Loss: 1.8618| V Acc: 0.3410| V MSE: 0.0786| CS: ({'0': 0.41, '1': 0.53, '2': 0.3, '3': 0.4, '4': 0.35, '5': 0.46, '6': 0.3, '7': 0.6, '8': 0.41, '9': 0.43}, 0.42)
Test | NLL Loss: 1.718418 | Acc: 0.3987 | MSE: 0.07390486400205487| CS: ({'0': 0.52, '1': 0.6, '2': 0.35, '3': 0.39, '4': 0.35, '5': 0.53, '6': 0.41, '7': 0.59, '8': 0.51, '9': 0.54}, 0.48)
Train Epoch: 7 | Loss: 1.623739 | Acc: 0.4267| MSE: 0.0712 || V Loss: 1.6932| V Acc: 0.4029| V MSE: 0.0734| CS: ({'0': 0.49, '1': 0.58, '2': 0.36, '3': 0.42, '4': 0.38, '5': 0.46, '6': 0.43, '7': 0.61, '8': 0.52, '9': 0.54}, 0.48)
Test | NLL Loss: 1.706799 | Acc: 0.3949 | MSE: 0.07382448580556403| CS: ({'0': 0.49, '1': 0.58, '2': 0.38, '3': 0.41, '4': 0.36, '5': 0.49, '6': 0.43, '7': 0.59, '8': 0.53, '9': 0.57}, 0.48)
Train Epoch: 8 | Loss: 1.608422 | Acc: 0.4303| MSE: 0.0707 || V Loss: 1.6983| V Acc: 0.4110| V MSE: 0.0733| CS: ({'0': 0.47, '1': 0.59, '2': 0.36, '3': 0.39, '4': 0.38, '5': 0.52, '6': 0.44, '7': 0.63, '8': 0.53, '9': 0.59}, 0.49)
Test | NLL Loss: 1.713640 | Acc: 0.3981 | MSE: 0.074036996430768| CS: ({'0': 0.46, '1': 0.6, '2': 0.39, '3': 0.39, '4': 0.39, '5': 0.54, '6': 0.45, '7': 0.6, '8': 0.55, '9': 0.6}, 0.5)
Train Epoch: 9 | Loss: 1.597819 | Acc: 0.4383| MSE: 0.0703 || V Loss: 1.6829| V Acc: 0.4003| V MSE: 0.0730| CS: ({'0': 0.51, '1': 0.56, '2': 0.35, '3': 0.37, '4': 0.33, '5': 0.49, '6': 0.45, '7': 0.61, '8': 0.49, '9': 0.55}, 0.47)
Test | NLL Loss: 1.702515 | Acc: 0.3937 | MSE: 0.07371546167392319| CS: ({'0': 0.5, '1': 0.56, '2': 0.36, '3': 0.37, '4': 0.33, '5': 0.51, '6': 0.45, '7': 0.6, '8': 0.48, '9': 0.57}, 0.47)
Train Epoch: 10 | Loss: 1.585008 | Acc: 0.4427| MSE: 0.0698 || V Loss: 1.6952| V Acc: 0.3975| V MSE: 0.0734| CS: ({'0': 0.54, '1': 0.57, '2': 0.33, '3': 0.41, '4': 0.36, '5': 0.48, '6': 0.44, '7': 0.65, '8': 0.52, '9': 0.59}, 0.49)
Test | NLL Loss: 1.715255 | Acc: 0.3951 | MSE: 0.07416337458327556| CS: ({'0': 0.54, '1': 0.58, '2': 0.35, '3': 0.39, '4': 0.35, '5': 0.49, '6': 0.45, '7': 0.62, '8': 0.52, '9': 0.61}, 0.49)
Train Epoch: 11 | Loss: 1.577537 | Acc: 0.4430| MSE: 0.0696 || V Loss: 1.6836| V Acc: 0.4076| V MSE: 0.0730| CS: ({'0': 0.46, '1': 0.62, '2': 0.4, '3': 0.4, '4': 0.32, '5': 0.46, '6': 0.4, '7': 0.6, '8': 0.57, '9': 0.56}, 0.48)
Test | NLL Loss: 1.710352 | Acc: 0.3911 | MSE: 0.07405104308415907| CS: ({'0': 0.45, '1': 0.61, '2': 0.41, '3': 0.4, '4': 0.31, '5': 0.47, '6': 0.41, '7': 0.6, '8': 0.57, '9': 0.57}, 0.48)
Train Epoch: 12 | Loss: 1.569786 | Acc: 0.4444| MSE: 0.0693 || V Loss: 1.6881| V Acc: 0.4080| V MSE: 0.0732| CS: ({'0': 0.54, '1': 0.58, '2': 0.35, '3': 0.38, '4': 0.35, '5': 0.49, '6': 0.42, '7': 0.63, '8': 0.56, '9': 0.54}, 0.48)
Test | NLL Loss: 1.717592 | Acc: 0.3957 | MSE: 0.07399324932323097| CS: ({'0': 0.53, '1': 0.58, '2': 0.36, '3': 0.38, '4': 0.35, '5': 0.53, '6': 0.43, '7': 0.61, '8': 0.56, '9': 0.56}, 0.49)
Train Epoch: 13 | Loss: 1.561175 | Acc: 0.4464| MSE: 0.0690 || V Loss: 1.7077| V Acc: 0.4045| V MSE: 0.0734| CS: ({'0': 0.53, '1': 0.62, '2': 0.39, '3': 0.42, '4': 0.38, '5': 0.52, '6': 0.43, '7': 0.63, '8': 0.56, '9': 0.62}, 0.51)
Test | NLL Loss: 1.723775 | Acc: 0.3931 | MSE: 0.07418856949518664| CS: ({'0': 0.5, '1': 0.63, '2': 0.42, '3': 0.4, '4': 0.37, '5': 0.52, '6': 0.44, '7': 0.61, '8': 0.55, '9': 0.63}, 0.51)
Train Epoch: 14 | Loss: 1.556631 | Acc: 0.4505| MSE: 0.0689 || V Loss: 1.6851| V Acc: 0.4049| V MSE: 0.0730| CS: ({'0': 0.5, '1': 0.59, '2': 0.36, '3': 0.39, '4': 0.32, '5': 0.53, '6': 0.48, '7': 0.61, '8': 0.56, '9': 0.58}, 0.49)
Test | NLL Loss: 1.719342 | Acc: 0.3896 | MSE: 0.07415126378353411| CS: ({'0': 0.5, '1': 0.6, '2': 0.38, '3': 0.39, '4': 0.32, '5': 0.57, '6': 0.48, '7': 0.61, '8': 0.57, '9': 0.6}, 0.5)
Train Epoch: 15 | Loss: 1.548552 | Acc: 0.4532| MSE: 0.0685 || V Loss: 1.6940| V Acc: 0.4076| V MSE: 0.0734| CS: ({'0': 0.52, '1': 0.59, '2': 0.37, '3': 0.38, '4': 0.34, '5': 0.54, '6': 0.43, '7': 0.63, '8': 0.56, '9': 0.54}, 0.49)
Test | NLL Loss: 1.718344 | Acc: 0.3943 | MSE: 0.07417533155114125| CS: ({'0': 0.51, '1': 0.59, '2': 0.39, '3': 0.36, '4': 0.34, '5': 0.54, '6': 0.43, '7': 0.62, '8': 0.55, '9': 0.54}, 0.49)
Train Epoch: 16 | Loss: 1.541674 | Acc: 0.4572| MSE: 0.0683 || V Loss: 1.6876| V Acc: 0.4086| V MSE: 0.0729| CS: ({'0': 0.53, '1': 0.59, '2': 0.37, '3': 0.38, '4': 0.39, '5': 0.55, '6': 0.47, '7': 0.65, '8': 0.54, '9': 0.62}, 0.51)
Test | NLL Loss: 1.715398 | Acc: 0.4015 | MSE: 0.07385939844071675| CS: ({'0': 0.52, '1': 0.6, '2': 0.38, '3': 0.37, '4': 0.38, '5': 0.57, '6': 0.46, '7': 0.61, '8': 0.54, '9': 0.61}, 0.5)
Train Epoch: 17 | Loss: 1.537579 | Acc: 0.4561| MSE: 0.0682 || V Loss: 1.7100| V Acc: 0.4015| V MSE: 0.0738| CS: ({'0': 0.57, '1': 0.63, '2': 0.34, '3': 0.42, '4': 0.36, '5': 0.5, '6': 0.49, '7': 0.64, '8': 0.55, '9': 0.54}, 0.5)
Test | NLL Loss: 1.740877 | Acc: 0.3893 | MSE: 0.07461257771657298| CS: ({'0': 0.57, '1': 0.64, '2': 0.35, '3': 0.39, '4': 0.36, '5': 0.53, '6': 0.5, '7': 0.63, '8': 0.54, '9': 0.57}, 0.51)
Train Epoch: 18 | Loss: 1.531097 | Acc: 0.4588| MSE: 0.0680 || V Loss: 1.6863| V Acc: 0.4027| V MSE: 0.0728| CS: ({'0': 0.53, '1': 0.6, '2': 0.41, '3': 0.42, '4': 0.4, '5': 0.51, '6': 0.41, '7': 0.64, '8': 0.59, '9': 0.61}, 0.51)
Test | NLL Loss: 1.722207 | Acc: 0.3944 | MSE: 0.07401320431083917| CS: ({'0': 0.53, '1': 0.61, '2': 0.41, '3': 0.4, '4': 0.39, '5': 0.52, '6': 0.43, '7': 0.62, '8': 0.57, '9': 0.61}, 0.51)
Train Epoch: 19 | Loss: 1.525154 | Acc: 0.4587| MSE: 0.0678 || V Loss: 1.6815| V Acc: 0.4164| V MSE: 0.0726| CS: ({'0': 0.55, '1': 0.61, '2': 0.38, '3': 0.42, '4': 0.36, '5': 0.55, '6': 0.44, '7': 0.65, '8': 0.56, '9': 0.59}, 0.51)
Test | NLL Loss: 1.720614 | Acc: 0.3980 | MSE: 0.07391665740230213| CS: ({'0': 0.56, '1': 0.63, '2': 0.4, '3': 0.41, '4': 0.35, '5': 0.56, '6': 0.46, '7': 0.63, '8': 0.54, '9': 0.61}, 0.52)
Train Epoch: 20 | Loss: 1.520828 | Acc: 0.4600| MSE: 0.0676 || V Loss: 1.6867| V Acc: 0.4114| V MSE: 0.0729| CS: ({'0': 0.52, '1': 0.61, '2': 0.39, '3': 0.43, '4': 0.37, '5': 0.5, '6': 0.44, '7': 0.63, '8': 0.6, '9': 0.56}, 0.5)
Test | NLL Loss: 1.716159 | Acc: 0.3982 | MSE: 0.07377925798439751| CS: ({'0': 0.53, '1': 0.62, '2': 0.4, '3': 0.42, '4': 0.36, '5': 0.52, '6': 0.45, '7': 0.62, '8': 0.59, '9': 0.58}, 0.51)
Train Epoch: 21 | Loss: 1.517137 | Acc: 0.4631| MSE: 0.0676 || V Loss: 1.7003| V Acc: 0.4007| V MSE: 0.0735| CS: ({'0': 0.53, '1': 0.64, '2': 0.4, '3': 0.4, '4': 0.38, '5': 0.51, '6': 0.43, '7': 0.63, '8': 0.59, '9': 0.56}, 0.51)
Test | NLL Loss: 1.728670 | Acc: 0.3942 | MSE: 0.07412405072833403| CS: ({'0': 0.54, '1': 0.62, '2': 0.4, '3': 0.38, '4': 0.37, '5': 0.52, '6': 0.44, '7': 0.62, '8': 0.57, '9': 0.58}, 0.5)
Train Epoch: 22 | Loss: 1.512000 | Acc: 0.4643| MSE: 0.0673 || V Loss: 1.6995| V Acc: 0.4064| V MSE: 0.0733| CS: ({'0': 0.55, '1': 0.61, '2': 0.37, '3': 0.44, '4': 0.36, '5': 0.58, '6': 0.45, '7': 0.67, '8': 0.57, '9': 0.58}, 0.52)
Test | NLL Loss: 1.731113 | Acc: 0.3968 | MSE: 0.07419402698596446| CS: ({'0': 0.56, '1': 0.62, '2': 0.37, '3': 0.42, '4': 0.36, '5': 0.6, '6': 0.46, '7': 0.62, '8': 0.57, '9': 0.59}, 0.52)
Train Epoch: 23 | Loss: 1.509260 | Acc: 0.4664| MSE: 0.0672 || V Loss: 1.7036| V Acc: 0.4070| V MSE: 0.0734| CS: ({'0': 0.59, '1': 0.63, '2': 0.38, '3': 0.43, '4': 0.38, '5': 0.53, '6': 0.48, '7': 0.66, '8': 0.58, '9': 0.61}, 0.53)
Test | NLL Loss: 1.732482 | Acc: 0.3966 | MSE: 0.07417496779380134| CS: ({'0': 0.59, '1': 0.64, '2': 0.38, '3': 0.41, '4': 0.37, '5': 0.55, '6': 0.49, '7': 0.62, '8': 0.56, '9': 0.61}, 0.52)
Train Epoch: 24 | Loss: 1.504307 | Acc: 0.4693| MSE: 0.0671 || V Loss: 1.7013| V Acc: 0.4086| V MSE: 0.0732| CS: ({'0': 0.54, '1': 0.61, '2': 0.38, '3': 0.42, '4': 0.39, '5': 0.53, '6': 0.44, '7': 0.67, '8': 0.6, '9': 0.58}, 0.52)
Test | NLL Loss: 1.734655 | Acc: 0.3947 | MSE: 0.07416949048638344| CS: ({'0': 0.55, '1': 0.62, '2': 0.4, '3': 0.41, '4': 0.37, '5': 0.55, '6': 0.46, '7': 0.63, '8': 0.6, '9': 0.58}, 0.52)
Train Epoch: 25 | Loss: 1.503194 | Acc: 0.4682| MSE: 0.0670 || V Loss: 1.7057| V Acc: 0.3981| V MSE: 0.0736| CS: ({'0': 0.58, '1': 0.64, '2': 0.37, '3': 0.4, '4': 0.37, '5': 0.49, '6': 0.44, '7': 0.66, '8': 0.59, '9': 0.54}, 0.51)
Test | NLL Loss: 1.741640 | Acc: 0.3939 | MSE: 0.07464074410093478| CS: ({'0': 0.58, '1': 0.63, '2': 0.39, '3': 0.41, '4': 0.36, '5': 0.49, '6': 0.45, '7': 0.62, '8': 0.57, '9': 0.55}, 0.51)
Train Epoch: 26 | Loss: 1.497909 | Acc: 0.4712| MSE: 0.0668 || V Loss: 1.7116| V Acc: 0.4062| V MSE: 0.0735| CS: ({'0': 0.54, '1': 0.64, '2': 0.4, '3': 0.44, '4': 0.36, '5': 0.52, '6': 0.42, '7': 0.62, '8': 0.62, '9': 0.58}, 0.51)
Test | NLL Loss: 1.742111 | Acc: 0.3916 | MSE: 0.0745109927873261| CS: ({'0': 0.54, '1': 0.65, '2': 0.41, '3': 0.42, '4': 0.35, '5': 0.56, '6': 0.45, '7': 0.6, '8': 0.59, '9': 0.59}, 0.52)
Train Epoch: 27 | Loss: 1.494432 | Acc: 0.4689| MSE: 0.0667 || V Loss: 1.7041| V Acc: 0.4019| V MSE: 0.0738| CS: ({'0': 0.56, '1': 0.63, '2': 0.37, '3': 0.41, '4': 0.38, '5': 0.47, '6': 0.48, '7': 0.66, '8': 0.56, '9': 0.59}, 0.51)
Test | NLL Loss: 1.732767 | Acc: 0.3990 | MSE: 0.07430875964296131| CS: ({'0': 0.57, '1': 0.63, '2': 0.39, '3': 0.39, '4': 0.36, '5': 0.48, '6': 0.49, '7': 0.64, '8': 0.55, '9': 0.61}, 0.51)
Train Epoch: 28 | Loss: 1.488832 | Acc: 0.4736| MSE: 0.0665 || V Loss: 1.6989| V Acc: 0.4045| V MSE: 0.0734| CS: ({'0': 0.53, '1': 0.62, '2': 0.38, '3': 0.43, '4': 0.34, '5': 0.53, '6': 0.45, '7': 0.68, '8': 0.6, '9': 0.59}, 0.51)
Test | NLL Loss: 1.738619 | Acc: 0.3920 | MSE: 0.07444105778163233| CS: ({'0': 0.52, '1': 0.63, '2': 0.39, '3': 0.42, '4': 0.34, '5': 0.55, '6': 0.47, '7': 0.64, '8': 0.59, '9': 0.6}, 0.51)
Train Epoch: 29 | Loss: 1.489079 | Acc: 0.4733| MSE: 0.0665 || V Loss: 1.7078| V Acc: 0.4023| V MSE: 0.0737| CS: ({'0': 0.54, '1': 0.64, '2': 0.39, '3': 0.42, '4': 0.39, '5': 0.58, '6': 0.49, '7': 0.64, '8': 0.6, '9': 0.56}, 0.53)
Test | NLL Loss: 1.750113 | Acc: 0.3910 | MSE: 0.07466972789492089| CS: ({'0': 0.54, '1': 0.65, '2': 0.38, '3': 0.39, '4': 0.38, '5': 0.6, '6': 0.51, '7': 0.63, '8': 0.6, '9': 0.58}, 0.53)
Train Epoch: 30 | Loss: 1.486299 | Acc: 0.4737| MSE: 0.0664 || V Loss: 1.7258| V Acc: 0.3983| V MSE: 0.0743| CS: ({'0': 0.56, '1': 0.64, '2': 0.44, '3': 0.41, '4': 0.36, '5': 0.54, '6': 0.45, '7': 0.66, '8': 0.58, '9': 0.57}, 0.52)
Test | NLL Loss: 1.748713 | Acc: 0.3928 | MSE: 0.07468386676412421| CS: ({'0': 0.57, '1': 0.63, '2': 0.45, '3': 0.4, '4': 0.35, '5': 0.55, '6': 0.48, '7': 0.61, '8': 0.59, '9': 0.58}, 0.52)
Train Epoch: 31 | Loss: 1.483774 | Acc: 0.4754| MSE: 0.0664 || V Loss: 1.7139| V Acc: 0.4013| V MSE: 0.0736| CS: ({'0': 0.54, '1': 0.64, '2': 0.39, '3': 0.41, '4': 0.38, '5': 0.53, '6': 0.46, '7': 0.67, '8': 0.6, '9': 0.57}, 0.52)
Test | NLL Loss: 1.743768 | Acc: 0.3978 | MSE: 0.07434718110881293| CS: ({'0': 0.54, '1': 0.65, '2': 0.39, '3': 0.39, '4': 0.37, '5': 0.53, '6': 0.48, '7': 0.63, '8': 0.58, '9': 0.59}, 0.51)
Train Epoch: 32 | Loss: 1.479661 | Acc: 0.4766| MSE: 0.0661 || V Loss: 1.7184| V Acc: 0.4076| V MSE: 0.0739| CS: ({'0': 0.57, '1': 0.65, '2': 0.39, '3': 0.42, '4': 0.37, '5': 0.51, '6': 0.44, '7': 0.66, '8': 0.59, '9': 0.58}, 0.52)
Test | NLL Loss: 1.751144 | Acc: 0.3989 | MSE: 0.07451589812581151| CS: ({'0': 0.56, '1': 0.63, '2': 0.41, '3': 0.42, '4': 0.36, '5': 0.53, '6': 0.46, '7': 0.65, '8': 0.58, '9': 0.59}, 0.52)
Train Epoch: 33 | Loss: 1.474745 | Acc: 0.4770| MSE: 0.0660 || V Loss: 1.7230| V Acc: 0.3987| V MSE: 0.0739| CS: ({'0': 0.53, '1': 0.64, '2': 0.39, '3': 0.43, '4': 0.36, '5': 0.5, '6': 0.45, '7': 0.68, '8': 0.57, '9': 0.58}, 0.51)
Test | NLL Loss: 1.757421 | Acc: 0.3822 | MSE: 0.07481109203336338| CS: ({'0': 0.53, '1': 0.65, '2': 0.38, '3': 0.41, '4': 0.37, '5': 0.53, '6': 0.48, '7': 0.65, '8': 0.55, '9': 0.58}, 0.51)
Train Epoch: 34 | Loss: 1.475086 | Acc: 0.4770| MSE: 0.0660 || V Loss: 1.7168| V Acc: 0.4033| V MSE: 0.0741| CS: ({'0': 0.58, '1': 0.63, '2': 0.4, '3': 0.44, '4': 0.35, '5': 0.51, '6': 0.5, '7': 0.66, '8': 0.58, '9': 0.64}, 0.53)
Test | NLL Loss: 1.757426 | Acc: 0.3975 | MSE: 0.07483122009819689| CS: ({'0': 0.59, '1': 0.62, '2': 0.4, '3': 0.41, '4': 0.35, '5': 0.52, '6': 0.51, '7': 0.64, '8': 0.57, '9': 0.64}, 0.53)
Train Epoch: 35 | Loss: 1.470322 | Acc: 0.4815| MSE: 0.0658 || V Loss: 1.7027| V Acc: 0.4049| V MSE: 0.0734| CS: ({'0': 0.52, '1': 0.64, '2': 0.39, '3': 0.44, '4': 0.39, '5': 0.51, '6': 0.44, '7': 0.65, '8': 0.59, '9': 0.59}, 0.52)
Test | NLL Loss: 1.742353 | Acc: 0.3913 | MSE: 0.07444309155209758| CS: ({'0': 0.53, '1': 0.64, '2': 0.4, '3': 0.41, '4': 0.37, '5': 0.55, '6': 0.46, '7': 0.63, '8': 0.57, '9': 0.61}, 0.52)
Train Epoch: 36 | Loss: 1.467847 | Acc: 0.4786| MSE: 0.0658 || V Loss: 1.7232| V Acc: 0.4043| V MSE: 0.0739| CS: ({'0': 0.57, '1': 0.65, '2': 0.39, '3': 0.43, '4': 0.39, '5': 0.52, '6': 0.47, '7': 0.67, '8': 0.58, '9': 0.59}, 0.53)
Test | NLL Loss: 1.767572 | Acc: 0.3900 | MSE: 0.07487989556246673| CS: ({'0': 0.56, '1': 0.64, '2': 0.39, '3': 0.42, '4': 0.38, '5': 0.55, '6': 0.47, '7': 0.64, '8': 0.58, '9': 0.61}, 0.52)
Train Epoch: 37 | Loss: 1.465439 | Acc: 0.4830| MSE: 0.0657 || V Loss: 1.7384| V Acc: 0.4076| V MSE: 0.0745| CS: ({'0': 0.58, '1': 0.66, '2': 0.39, '3': 0.43, '4': 0.38, '5': 0.51, '6': 0.44, '7': 0.66, '8': 0.63, '9': 0.57}, 0.53)
Test | NLL Loss: 1.769146 | Acc: 0.3887 | MSE: 0.0751980778198844| CS: ({'0': 0.58, '1': 0.66, '2': 0.4, '3': 0.41, '4': 0.37, '5': 0.54, '6': 0.46, '7': 0.63, '8': 0.63, '9': 0.57}, 0.53)
Train Epoch: 38 | Loss: 1.463942 | Acc: 0.4809| MSE: 0.0656 || V Loss: 1.7356| V Acc: 0.4025| V MSE: 0.0741| CS: ({'0': 0.56, '1': 0.64, '2': 0.39, '3': 0.39, '4': 0.36, '5': 0.54, '6': 0.46, '7': 0.66, '8': 0.63, '9': 0.59}, 0.52)
Test | NLL Loss: 1.785077 | Acc: 0.3861 | MSE: 0.07539661471455242| CS: ({'0': 0.56, '1': 0.67, '2': 0.4, '3': 0.38, '4': 0.35, '5': 0.57, '6': 0.48, '7': 0.64, '8': 0.62, '9': 0.6}, 0.53)
Train Epoch: 39 | Loss: 1.461835 | Acc: 0.4821| MSE: 0.0656 || V Loss: 1.7295| V Acc: 0.4037| V MSE: 0.0742| CS: ({'0': 0.6, '1': 0.62, '2': 0.38, '3': 0.42, '4': 0.38, '5': 0.53, '6': 0.46, '7': 0.68, '8': 0.64, '9': 0.62}, 0.53)
Test | NLL Loss: 1.770520 | Acc: 0.3939 | MSE: 0.07515280228405714| CS: ({'0': 0.6, '1': 0.64, '2': 0.38, '3': 0.4, '4': 0.37, '5': 0.54, '6': 0.48, '7': 0.67, '8': 0.62, '9': 0.63}, 0.53)
Train Epoch: 40 | Loss: 1.459995 | Acc: 0.4825| MSE: 0.0656 || V Loss: 1.7121| V Acc: 0.4011| V MSE: 0.0736| CS: ({'0': 0.57, '1': 0.63, '2': 0.41, '3': 0.42, '4': 0.4, '5': 0.54, '6': 0.51, '7': 0.65, '8': 0.6, '9': 0.63}, 0.54)
Test | NLL Loss: 1.761752 | Acc: 0.3954 | MSE: 0.07494673344749993| CS: ({'0': 0.59, '1': 0.63, '2': 0.41, '3': 0.4, '4': 0.38, '5': 0.55, '6': 0.51, '7': 0.64, '8': 0.6, '9': 0.63}, 0.53)
Train Epoch: 41 | Loss: 1.457943 | Acc: 0.4838| MSE: 0.0655 || V Loss: 1.7368| V Acc: 0.3945| V MSE: 0.0746| CS: ({'0': 0.56, '1': 0.62, '2': 0.38, '3': 0.42, '4': 0.35, '5': 0.53, '6': 0.47, '7': 0.66, '8': 0.52, '9': 0.6}, 0.51)
