Config: 
 {
  "model_name": "gsc_cifar_10p_data_100p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 9.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      150,
      100,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 1.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 4500 samples (9.0% of 50000) 
Valid on 500 samples (1.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifierGSC(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=150, bias=True)
    (1): Linear(in_features=1174, out_features=100, bias=True)
    (2): Linear(in_features=1274, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                  [-1, 150]         153,750
              ReLU-2                  [-1, 150]               0
            Linear-3                  [-1, 100]         117,500
              ReLU-4                  [-1, 100]               0
            Linear-5                   [-1, 10]          12,750
        LogSoftmax-6                   [-1, 10]               0
================================================================
Total params: 284,000
Trainable params: 284,000
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 1.08
Estimated Total Size (MB): 1.09
----------------------------------------------------------------


Train Epoch: 1 | Loss: 3.216746 | Acc: 0.2025| MSE: 0.1060 || V Loss: 3.2177| V Acc: 0.1980| V MSE: 0.1067| CS: ({'0': 0.69, '1': 0.74, '2': 0.46, '3': 0.4, '4': 0.21, '5': 0.58, '6': 0.48, '7': 0.56, '8': 0.39, '9': 0.78}, 0.53)
Test | NLL Loss: 3.604607 | Acc: 0.2501 | MSE: 0.10893074201699644| CS: ({'0': 0.68, '1': 0.76, '2': 0.65, '3': 0.73, '4': 0.51, '5': 0.75, '6': 0.69, '7': 0.76, '8': 0.69, '9': 0.82}, 0.7)
Train Epoch: 7 | Loss: 2.774379 | Acc: 0.3707| MSE: 0.0913 || V Loss: 3.6610| V Acc: 0.2613| V MSE: 0.1084| CS: ({'0': 0.82, '1': 0.66, '2': 0.59, '3': 0.82, '4': 0.6, '5': 0.89, '6': 0.56, '7': 0.67, '8': 0.7, '9': 0.74}, 0.7)
Test | NLL Loss: 3.890785 | Acc: 0.2435 | MSE: 0.11142836920559977| CS: ({'0': 0.7, '1': 0.74, '2': 0.63, '3': 0.7, '4': 0.54, '5': 0.87, '6': 0.71, '7': 0.72, '8': 0.68, '9': 0.75}, 0.7)
Train Epoch: 8 | Loss: 2.760052 | Acc: 0.3946| MSE: 0.0890 || V Loss: 3.8570| V Acc: 0.2910| V MSE: 0.1062| CS: ({'0': 0.77, '1': 0.78, '2': 0.59, '3': 0.74, '4': 0.53, '5': 0.8, '6': 0.62, '7': 0.81, '8': 0.69, '9': 0.85}, 0.72)
Test | NLL Loss: 3.720800 | Acc: 0.2584 | MSE: 0.10953430731456501| CS: ({'0': 0.75, '1': 0.76, '2': 0.62, '3': 0.71, '4': 0.6, '5': 0.79, '6': 0.63, '7': 0.81, '8': 0.73, '9': 0.82}, 0.72)
Train Epoch: 9 | Loss: 2.466827 | Acc: 0.4334| MSE: 0.0830 || V Loss: 4.2853| V Acc: 0.2703| V MSE: 0.1136| CS: ({'0': 0.69, '1': 0.77, '2': 0.55, '3': 0.67, '4': 0.77, '5': 0.78, '6': 0.72, '7': 0.81, '8': 0.72, '9': 0.74}, 0.72)
Test | NLL Loss: 4.468619 | Acc: 0.2310 | MSE: 0.11628008310120708| CS: ({'0': 0.68, '1': 0.75, '2': 0.65, '3': 0.8, '4': 0.73, '5': 0.79, '6': 0.63, '7': 0.79, '8': 0.76, '9': 0.77}, 0.73)
Train Epoch: 10 | Loss: 2.466804 | Acc: 0.4401| MSE: 0.0833 || V Loss: 4.1258| V Acc: 0.2629| V MSE: 0.1124| CS: ({'0': 0.75, '1': 0.78, '2': 0.53, '3': 0.82, '4': 0.77, '5': 0.89, '6': 0.76, '7': 0.79, '8': 0.82, '9': 0.68}, 0.76)
Test | NLL Loss: 4.257800 | Acc: 0.2577 | MSE: 0.11398732162321719| CS: ({'0': 0.81, '1': 0.8, '2': 0.6, '3': 0.69, '4': 0.65, '5': 0.84, '6': 0.77, '7': 0.82, '8': 0.78, '9': 0.77}, 0.75)
Train Epoch: 11 | Loss: 2.455380 | Acc: 0.4539| MSE: 0.0813 || V Loss: 5.0518| V Acc: 0.2840| V MSE: 0.1151| CS: ({'0': 0.75, '1': 0.87, '2': 0.71, '4': 0.88, '5': 0.87, '6': 0.82, '7': 0.79, '8': 0.85, '9': 0.89}, 0.83)
Test | NLL Loss: 5.039746 | Acc: 0.2687 | MSE: 0.11773780999949184| CS: ({'0': 0.77, '1': 0.88, '2': 0.69, '3': 0.61, '4': 0.8, '5': 0.85, '6': 0.81, '7': 0.83, '8': 0.82, '9': 0.81}, 0.79)
Train Epoch: 12 | Loss: 2.321438 | Acc: 0.4819| MSE: 0.0782 || V Loss: 4.3356| V Acc: 0.2715| V MSE: 0.1141| CS: ({'0': 0.77, '1': 0.82, '2': 0.64, '3': 0.79, '4': 0.73, '5': 0.87, '6': 0.85, '7': 0.83, '8': 0.65, '9': 0.73}, 0.77)
Test | NLL Loss: 4.502157 | Acc: 0.2592 | MSE: 0.11503247376352835| CS: ({'0': 0.8, '1': 0.81, '2': 0.68, '3': 0.74, '4': 0.74, '5': 0.87, '6': 0.69, '7': 0.83, '8': 0.74, '9': 0.86}, 0.78)
Train Epoch: 13 | Loss: 2.332514 | Acc: 0.4900| MSE: 0.0769 || V Loss: 5.5074| V Acc: 0.2629| V MSE: 0.1181| CS: ({'0': 0.85, '1': 0.86, '2': 0.79, '3': 0.91, '4': 0.72, '5': 0.91, '6': 0.64, '7': 0.94, '8': 0.86, '9': 0.84}, 0.83)
Test | NLL Loss: 5.726286 | Acc: 0.2487 | MSE: 0.12131470582260491| CS: ({'0': 0.86, '1': 0.85, '2': 0.72, '3': 0.87, '4': 0.7, '5': 0.76, '6': 0.7, '7': 0.84, '8': 0.78, '9': 0.87}, 0.8)
Train Epoch: 14 | Loss: 2.419334 | Acc: 0.4951| MSE: 0.0774 || V Loss: 4.6966| V Acc: 0.2656| V MSE: 0.1167| CS: ({'0': 0.76, '1': 0.94, '2': 0.66, '3': 0.89, '4': 0.73, '5': 0.84, '6': 0.9, '7': 0.85, '8': 0.81, '9': 0.72}, 0.81)
Test | NLL Loss: 4.763413 | Acc: 0.2713 | MSE: 0.11504309060284124| CS: ({'0': 0.82, '1': 0.85, '2': 0.72, '3': 0.83, '4': 0.66, '5': 0.82, '6': 0.72, '7': 0.83, '8': 0.85, '9': 0.79}, 0.79)
Train Epoch: 15 | Loss: 2.089774 | Acc: 0.5422| MSE: 0.0694 || V Loss: 5.5095| V Acc: 0.2629| V MSE: 0.1188| CS: ({'0': 0.76, '1': 0.81, '2': 0.91, '3': 0.86, '4': 0.73, '5': 0.85, '6': 0.8, '7': 0.81, '8': 0.83, '9': 0.93}, 0.83)
Test | NLL Loss: 5.514041 | Acc: 0.2461 | MSE: 0.12226072387002147| CS: ({'0': 0.76, '1': 0.86, '2': 0.86, '3': 0.82, '4': 0.69, '5': 0.86, '6': 0.75, '7': 0.85, '8': 0.85, '9': 0.87}, 0.82)
Train Epoch: 16 | Loss: 1.977812 | Acc: 0.5618| MSE: 0.0674 || V Loss: 5.1496| V Acc: 0.2840| V MSE: 0.1155| CS: ({'0': 0.91, '1': 0.88, '2': 0.88, '3': 0.93, '4': 0.76, '5': 0.91, '6': 0.81, '7': 0.91, '8': 0.85, '9': 0.89}, 0.87)
Test | NLL Loss: 5.343051 | Acc: 0.2767 | MSE: 0.11812089240779511| CS: ({'0': 0.92, '1': 0.84, '2': 0.71, '3': 0.82, '4': 0.75, '5': 0.88, '6': 0.75, '7': 0.89, '8': 0.88, '9': 0.84}, 0.83)
Train Epoch: 17 | Loss: 1.943602 | Acc: 0.5843| MSE: 0.0645 || V Loss: 5.5203| V Acc: 0.2578| V MSE: 0.1206| CS: ({'0': 0.72, '1': 0.91, '2': 0.76, '3': 0.87, '4': 0.8, '5': 0.76, '6': 0.74, '7': 0.93, '8': 0.88, '9': 0.91}, 0.83)
Test | NLL Loss: 5.479995 | Acc: 0.2575 | MSE: 0.12127605806619596| CS: ({'0': 0.69, '1': 0.88, '2': 0.77, '3': 0.83, '4': 0.79, '5': 0.85, '6': 0.75, '7': 0.88, '8': 0.88, '9': 0.89}, 0.82)
Train Epoch: 18 | Loss: 1.840059 | Acc: 0.5971| MSE: 0.0613 || V Loss: 5.5519| V Acc: 0.2902| V MSE: 0.1174| CS: ({'0': 0.86, '1': 0.9, '2': 0.76, '3': 0.81, '4': 0.8, '5': 0.82, '6': 0.86, '7': 0.88, '8': 0.84, '9': 0.79}, 0.83)
Test | NLL Loss: 5.904231 | Acc: 0.2695 | MSE: 0.1217923325043136| CS: ({'0': 0.82, '1': 0.87, '2': 0.77, '3': 0.8, '4': 0.71, '5': 0.81, '6': 0.89, '7': 0.88, '8': 0.9, '9': 0.88}, 0.83)
Train Epoch: 19 | Loss: 1.725031 | Acc: 0.6184| MSE: 0.0576 || V Loss: 6.1339| V Acc: 0.3180| V MSE: 0.1153| CS: ({'0': 0.74, '1': 0.92, '2': 0.87, '3': 0.95, '4': 0.86, '5': 0.87, '6': 0.82, '7': 0.82, '8': 0.9, '9': 0.82}, 0.86)
Test | NLL Loss: 6.349766 | Acc: 0.2735 | MSE: 0.1217429894751634| CS: ({'0': 0.74, '1': 0.89, '2': 0.74, '3': 0.87, '4': 0.77, '5': 0.87, '6': 0.83, '7': 0.92, '8': 0.88, '9': 0.89}, 0.84)
Train Epoch: 20 | Loss: 1.941506 | Acc: 0.6130| MSE: 0.0616 || V Loss: 5.6150| V Acc: 0.2715| V MSE: 0.1196| CS: ({'0': 0.88, '1': 0.75, '2': 0.77, '3': 0.93, '4': 0.81, '5': 0.81, '6': 0.76, '7': 0.93, '8': 0.89, '9': 0.86}, 0.84)
Test | NLL Loss: 5.905243 | Acc: 0.2854 | MSE: 0.11879665711626838| CS: ({'0': 0.89, '1': 0.85, '2': 0.73, '3': 0.86, '4': 0.75, '5': 0.87, '6': 0.86, '7': 0.87, '8': 0.85, '9': 0.89}, 0.84)
Train Epoch: 21 | Loss: 1.871677 | Acc: 0.6208| MSE: 0.0596 || V Loss: 6.5455| V Acc: 0.2855| V MSE: 0.1198| CS: ({'0': 0.94, '1': 0.86, '2': 0.74, '3': 0.86, '4': 0.85, '5': 0.96, '6': 0.85, '7': 0.92, '8': 0.89, '9': 0.94}, 0.88)
Test | NLL Loss: 6.312208 | Acc: 0.2661 | MSE: 0.12239812978635581| CS: ({'0': 0.91, '1': 0.9, '2': 0.77, '3': 0.86, '4': 0.79, '5': 0.87, '6': 0.82, '7': 0.9, '8': 0.86, '9': 0.88}, 0.86)
Train Epoch: 22 | Loss: 2.042176 | Acc: 0.6248| MSE: 0.0601 || V Loss: 6.5060| V Acc: 0.2805| V MSE: 0.1210| CS: ({'0': 0.87, '1': 0.89, '2': 0.82, '3': 0.87, '4': 0.75, '5': 0.95, '6': 0.69, '7': 0.97, '8': 0.85, '9': 0.82}, 0.85)
Test | NLL Loss: 6.457552 | Acc: 0.2760 | MSE: 0.12151594945607475| CS: ({'0': 0.87, '1': 0.89, '2': 0.79, '3': 0.85, '4': 0.81, '5': 0.94, '6': 0.8, '7': 0.89, '8': 0.88, '9': 0.84}, 0.86)
Train Epoch: 23 | Loss: 1.764170 | Acc: 0.6496| MSE: 0.0556 || V Loss: 6.8117| V Acc: 0.3086| V MSE: 0.1159| CS: ({'0': 0.86, '1': 0.92, '2': 0.79, '3': 0.97, '4': 0.86, '5': 0.86, '6': 0.87, '7': 0.94, '8': 0.93, '9': 0.9}, 0.89)
Test | NLL Loss: 7.424014 | Acc: 0.2684 | MSE: 0.12489837424728437| CS: ({'0': 0.86, '1': 0.9, '2': 0.83, '3': 0.8, '4': 0.77, '5': 0.92, '6': 0.87, '7': 0.9, '8': 0.92, '9': 0.91}, 0.87)
Train Epoch: 24 | Loss: 1.646318 | Acc: 0.6798| MSE: 0.0510 || V Loss: 7.6383| V Acc: 0.2609| V MSE: 0.1256| CS: ({'0': 0.99, '1': 0.92, '2': 0.83, '3': 0.87, '4': 0.7, '5': 0.86, '6': 0.78, '7': 0.96, '8': 0.91, '9': 0.93}, 0.88)
Test | NLL Loss: 7.971966 | Acc: 0.2398 | MSE: 0.13018915180961926| CS: ({'0': 0.79, '1': 0.92, '2': 0.84, '3': 0.9, '4': 0.77, '5': 0.87, '6': 0.76, '7': 0.9, '8': 0.88, '9': 0.86}, 0.85)
Train Epoch: 25 | Loss: 2.003470 | Acc: 0.6499| MSE: 0.0564 || V Loss: 7.4431| V Acc: 0.2801| V MSE: 0.1208| CS: ({'0': 0.86, '1': 0.85, '2': 0.81, '3': 0.85, '4': 0.79, '5': 0.95, '6': 0.83, '7': 0.93, '8': 0.9, '9': 0.89}, 0.87)
Test | NLL Loss: 7.931049 | Acc: 0.2577 | MSE: 0.1276685284159054| CS: ({'0': 0.84, '1': 0.92, '2': 0.87, '3': 0.83, '4': 0.82, '5': 0.94, '6': 0.83, '7': 0.91, '8': 0.9, '9': 0.89}, 0.88)
Train Epoch: 26 | Loss: 1.802762 | Acc: 0.6763| MSE: 0.0518 || V Loss: 6.2602| V Acc: 0.2684| V MSE: 0.1217| CS: ({'0': 0.94, '1': 0.9, '2': 0.84, '3': 0.85, '4': 0.86, '5': 0.91, '6': 0.73, '7': 0.91, '8': 0.88, '9': 0.78}, 0.86)
Test | NLL Loss: 6.632514 | Acc: 0.2821 | MSE: 0.12197045762889301| CS: ({'0': 0.89, '1': 0.91, '2': 0.83, '3': 0.85, '4': 0.79, '5': 0.88, '6': 0.83, '7': 0.91, '8': 0.9, '9': 0.9}, 0.87)
Train Epoch: 27 | Loss: 1.331289 | Acc: 0.7241| MSE: 0.0438 || V Loss: 7.2785| V Acc: 0.2934| V MSE: 0.1225| CS: ({'0': 0.87, '1': 0.89, '2': 0.93, '3': 0.9, '4': 0.89, '5': 0.93, '6': 0.87, '7': 0.82, '8': 0.92, '9': 0.88}, 0.89)
Test | NLL Loss: 7.890292 | Acc: 0.2712 | MSE: 0.12619972245666547| CS: ({'0': 0.9, '1': 0.91, '2': 0.88, '3': 0.85, '4': 0.83, '5': 0.88, '6': 0.88, '7': 0.88, '8': 0.92, '9': 0.92}, 0.89)
Train Epoch: 28 | Loss: 1.492421 | Acc: 0.7250| MSE: 0.0444 || V Loss: 7.9080| V Acc: 0.2539| V MSE: 0.1274| CS: ({'0': 0.88, '1': 0.96, '2': 0.78, '3': 0.91, '4': 0.86, '5': 0.94, '6': 0.84, '7': 0.91, '8': 0.92, '9': 0.84}, 0.88)
Test | NLL Loss: 7.902766 | Acc: 0.2719 | MSE: 0.12628646720998205| CS: ({'0': 0.87, '1': 0.88, '2': 0.78, '3': 0.9, '4': 0.82, '5': 0.91, '6': 0.85, '7': 0.92, '8': 0.92, '9': 0.89}, 0.87)
Train Epoch: 29 | Loss: 1.441085 | Acc: 0.7232| MSE: 0.0442 || V Loss: 8.3564| V Acc: 0.2789| V MSE: 0.1225| CS: ({'0': 0.98, '1': 0.9, '2': 0.96, '3': 0.84, '4': 0.87, '5': 0.96, '6': 0.87, '7': 0.97, '8': 0.9, '9': 0.93}, 0.92)
Test | NLL Loss: 8.165559 | Acc: 0.2825 | MSE: 0.12471456352038124| CS: ({'0': 0.87, '1': 0.91, '2': 0.84, '3': 0.91, '4': 0.85, '5': 0.93, '6': 0.85, '7': 0.93, '8': 0.9, '9': 0.92}, 0.89)
Train Epoch: 30 | Loss: 1.625028 | Acc: 0.7082| MSE: 0.0469 || V Loss: 7.9939| V Acc: 0.2863| V MSE: 0.1243| CS: ({'0': 0.88, '1': 0.86, '2': 0.88, '3': 0.87, '4': 0.78, '5': 0.91, '6': 0.91, '7': 0.82, '8': 0.97, '9': 0.86}, 0.87)
Test | NLL Loss: 8.625805 | Acc: 0.2728 | MSE: 0.12700915031920607| CS: ({'0': 0.88, '1': 0.92, '2': 0.83, '3': 0.88, '4': 0.77, '5': 0.9, '6': 0.91, '7': 0.91, '8': 0.93, '9': 0.91}, 0.88)
Train Epoch: 31 | Loss: 1.713362 | Acc: 0.7052| MSE: 0.0480 || V Loss: 8.4385| V Acc: 0.3035| V MSE: 0.1232| CS: ({'0': 0.87, '1': 0.91, '2': 0.85, '3': 0.93, '4': 0.87, '5': 0.93, '6': 0.85, '7': 0.95, '8': 0.93, '9': 0.93}, 0.9)
Test | NLL Loss: 8.967025 | Acc: 0.2785 | MSE: 0.127310623828405| CS: ({'0': 0.87, '1': 0.92, '2': 0.83, '3': 0.93, '4': 0.86, '5': 0.9, '6': 0.89, '7': 0.9, '8': 0.89, '9': 0.94}, 0.89)
Train Epoch: 32 | Loss: 1.505516 | Acc: 0.7379| MSE: 0.0428 || V Loss: 9.6117| V Acc: 0.2672| V MSE: 0.1292| CS: ({'0': 0.83, '1': 0.94, '2': 0.86, '3': 0.97, '4': 0.71, '5': 0.94, '6': 0.93, '7': 0.97, '8': 0.93, '9': 0.94}, 0.9)
Test | NLL Loss: 9.764428 | Acc: 0.2604 | MSE: 0.13080747839741813| CS: ({'0': 0.89, '1': 0.95, '2': 0.9, '3': 0.9, '4': 0.87, '5': 0.91, '6': 0.89, '7': 0.93, '8': 0.91, '9': 0.91}, 0.91)
Train Epoch: 33 | Loss: 1.464483 | Acc: 0.7401| MSE: 0.0423 || V Loss: 9.2720| V Acc: 0.2672| V MSE: 0.1264| CS: ({'0': 0.92, '1': 0.91, '2': 0.93, '3': 0.92, '4': 0.87, '5': 0.9, '6': 0.83, '7': 0.95, '8': 0.94, '9': 0.92}, 0.91)
Test | NLL Loss: 9.383672 | Acc: 0.2820 | MSE: 0.1272588014935914| CS: ({'0': 0.92, '1': 0.94, '2': 0.89, '3': 0.88, '4': 0.84, '5': 0.93, '6': 0.85, '7': 0.94, '8': 0.93, '9': 0.91}, 0.9)
Train Epoch: 34 | Loss: 1.362570 | Acc: 0.7629| MSE: 0.0385 || V Loss: 9.3833| V Acc: 0.2930| V MSE: 0.1256| CS: ({'0': 0.93, '1': 0.99, '2': 0.84, '3': 0.78, '4': 0.88, '5': 0.92, '6': 0.89, '7': 0.93, '8': 0.94, '9': 0.96}, 0.91)
Test | NLL Loss: 9.813259 | Acc: 0.2783 | MSE: 0.12852023042048127| CS: ({'0': 0.86, '1': 0.94, '2': 0.92, '3': 0.9, '4': 0.86, '5': 0.94, '6': 0.89, '7': 0.92, '8': 0.94, '9': 0.94}, 0.91)
Train Epoch: 35 | Loss: 1.244360 | Acc: 0.7684| MSE: 0.0374 || V Loss: 9.3376| V Acc: 0.3164| V MSE: 0.1215| CS: ({'0': 0.88, '1': 0.96, '2': 0.9, '3': 0.89, '4': 0.89, '5': 0.93, '6': 0.98, '7': 0.92, '8': 0.89, '9': 0.91}, 0.92)
Test | NLL Loss: 9.726209 | Acc: 0.2750 | MSE: 0.1288813494693357| CS: ({'0': 0.88, '1': 0.94, '2': 0.89, '3': 0.91, '4': 0.86, '5': 0.94, '6': 0.88, '7': 0.94, '8': 0.9, '9': 0.94}, 0.91)
Train Epoch: 36 | Loss: 1.276675 | Acc: 0.7816| MSE: 0.0360 || V Loss: 9.5706| V Acc: 0.2949| V MSE: 0.1265| CS: ({'0': 0.93, '1': 0.97, '2': 0.87, '3': 0.94, '4': 0.88, '5': 0.97, '6': 0.88, '7': 0.92, '8': 0.85, '9': 0.86}, 0.91)
Test | NLL Loss: 10.103870 | Acc: 0.2714 | MSE: 0.13020921546144607| CS: ({'0': 0.92, '1': 0.93, '2': 0.86, '3': 0.91, '4': 0.87, '5': 0.93, '6': 0.86, '7': 0.91, '8': 0.91, '9': 0.92}, 0.9)
Train Epoch: 37 | Loss: 1.270188 | Acc: 0.7898| MSE: 0.0353 || V Loss: 9.7921| V Acc: 0.3172| V MSE: 0.1228| CS: ({'0': 0.96, '1': 0.95, '2': 0.9, '3': 0.91, '4': 0.92, '5': 0.94, '6': 0.87, '7': 0.9, '8': 0.95, '9': 0.78}, 0.91)
Test | NLL Loss: 11.002306 | Acc: 0.2753 | MSE: 0.13003659217407149| CS: ({'0': 0.94, '1': 0.94, '2': 0.89, '3': 0.91, '4': 0.86, '5': 0.95, '6': 0.87, '7': 0.95, '8': 0.94, '9': 0.91}, 0.92)
Train Epoch: 38 | Loss: 1.541443 | Acc: 0.7648| MSE: 0.0387 || V Loss: 11.0072| V Acc: 0.2789| V MSE: 0.1312| CS: ({'0': 0.96, '1': 0.9, '2': 0.91, '3': 0.95, '4': 0.92, '5': 0.96, '6': 0.87, '7': 0.93, '8': 0.93, '9': 0.85}, 0.92)
Test | NLL Loss: 11.347039 | Acc: 0.2755 | MSE: 0.1306219071673509| CS: ({'0': 0.96, '1': 0.93, '2': 0.89, '3': 0.92, '4': 0.84, '5': 0.9, '6': 0.89, '7': 0.94, '8': 0.95, '9': 0.93}, 0.92)
Train Epoch: 39 | Loss: 1.459154 | Acc: 0.7729| MSE: 0.0379 || V Loss: 10.9307| V Acc: 0.3250| V MSE: 0.1211| CS: ({'0': 0.89, '1': 0.97, '2': 0.9, '3': 0.96, '4': 0.89, '5': 0.94, '6': 0.93, '7': 0.95, '8': 0.93, '9': 0.92}, 0.93)
Test | NLL Loss: 11.267039 | Acc: 0.2799 | MSE: 0.13004125699924585| CS: ({'0': 0.92, '1': 0.93, '2': 0.88, '3': 0.92, '4': 0.9, '5': 0.95, '6': 0.92, '7': 0.94, '8': 0.93, '9': 0.94}, 0.92)
Train Epoch: 40 | Loss: 1.115004 | Acc: 0.8053| MSE: 0.0320 || V Loss: 10.4921| V Acc: 0.2734| V MSE: 0.1293| CS: ({'0': 0.95, '1': 0.97, '2': 0.9, '3': 0.94, '4': 0.9, '5': 0.97, '6': 0.86, '7': 0.93, '8': 0.96, '9': 0.97}, 0.93)
Test | NLL Loss: 10.879678 | Acc: 0.2848 | MSE: 0.12911926386074518| CS: ({'0': 0.91, '1': 0.94, '2': 0.89, '3': 0.93, '4': 0.88, '5': 0.94, '6': 0.9, '7': 0.94, '8': 0.94, '9': 0.96}, 0.92)
Train Epoch: 41 | Loss: 1.117531 | Acc: 0.8036| MSE: 0.0316 || V Loss: 11.3702| V Acc: 0.2887| V MSE: 0.1294| CS: ({'0': 0.94, '1': 0.92, '2': 0.89, '3': 0.88, '4': 0.91, '5': 0.95, '6': 0.89, '7': 0.93, '8': 0.91, '9': 0.93}, 0.91)
