Config: 
 {
  "model_name": "simpleffn_cifar_10p_data_10p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 9.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      30,
      15,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 1.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 4500 samples (9.0% of 50000) 
Valid on 500 samples (1.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifier(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=30, bias=True)
    (1): Linear(in_features=30, out_features=15, bias=True)
    (2): Linear(in_features=15, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                   [-1, 30]          30,750
              ReLU-2                   [-1, 30]               0
            Linear-3                   [-1, 15]             465
              ReLU-4                   [-1, 15]               0
            Linear-5                   [-1, 10]             160
        LogSoftmax-6                   [-1, 10]               0
================================================================
Total params: 31,375
Trainable params: 31,375
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 0.12
Estimated Total Size (MB): 0.12
----------------------------------------------------------------


Train Epoch: 1 | Loss: 2.131667 | Acc: 0.2332| MSE: 0.0861 || V Loss: 2.0611| V Acc: 0.2273| V MSE: 0.0844| CS: ({'0': 0.3, '1': 0.41, '2': 0.24, '3': 0.42, '4': 0.24, '5': 0.17, '6': 0.23, '7': 0.3, '8': 0.24, '9': 0.41}, 0.3)
Test | NLL Loss: 2.069741 | Acc: 0.2706 | MSE: 0.08363484674558853| CS: ({'0': 0.44, '1': 0.6, '2': 0.27, '3': 0.42, '4': 0.25, '5': 0.28, '6': 0.2, '7': 0.58, '8': 0.41, '9': 0.51}, 0.4)
Train Epoch: 7 | Loss: 1.816752 | Acc: 0.3331| MSE: 0.0778 || V Loss: 2.0267| V Acc: 0.2996| V MSE: 0.0816| CS: ({'0': 0.43, '1': 0.55, '2': 0.37, '3': 0.48, '4': 0.27, '5': 0.46, '6': 0.25, '7': 0.68, '8': 0.38, '9': 0.54}, 0.44)
Test | NLL Loss: 2.052051 | Acc: 0.2812 | MSE: 0.0833672213192565| CS: ({'0': 0.4, '1': 0.58, '2': 0.38, '3': 0.34, '4': 0.28, '5': 0.44, '6': 0.29, '7': 0.57, '8': 0.37, '9': 0.53}, 0.42)
Train Epoch: 8 | Loss: 1.782914 | Acc: 0.3495| MSE: 0.0766 || V Loss: 2.1065| V Acc: 0.2547| V MSE: 0.0842| CS: ({'0': 0.42, '1': 0.59, '2': 0.42, '3': 0.29, '4': 0.22, '5': 0.54, '6': 0.23, '7': 0.52, '8': 0.34, '9': 0.69}, 0.43)
Test | NLL Loss: 2.148291 | Acc: 0.2493 | MSE: 0.08553926696697363| CS: ({'0': 0.41, '1': 0.57, '2': 0.39, '3': 0.33, '4': 0.23, '5': 0.48, '6': 0.27, '7': 0.5, '8': 0.33, '9': 0.51}, 0.4)
Train Epoch: 9 | Loss: 1.771027 | Acc: 0.3532| MSE: 0.0761 || V Loss: 2.1614| V Acc: 0.2684| V MSE: 0.0845| CS: ({'0': 0.31, '1': 0.59, '2': 0.21, '3': 0.58, '4': 0.24, '5': 0.43, '6': 0.23, '7': 0.64, '8': 0.49, '9': 0.56}, 0.43)
Test | NLL Loss: 2.122039 | Acc: 0.2648 | MSE: 0.08492139584054581| CS: ({'0': 0.35, '1': 0.55, '2': 0.28, '3': 0.38, '4': 0.23, '5': 0.38, '6': 0.23, '7': 0.58, '8': 0.48, '9': 0.52}, 0.4)
Train Epoch: 10 | Loss: 1.718140 | Acc: 0.3747| MSE: 0.0747 || V Loss: 2.1869| V Acc: 0.2988| V MSE: 0.0848| CS: ({'0': 0.53, '1': 0.6, '2': 0.3, '3': 0.78, '4': 0.23, '5': 0.6, '6': 0.28, '7': 0.6, '8': 0.41, '9': 0.6}, 0.49)
Test | NLL Loss: 2.185207 | Acc: 0.2738 | MSE: 0.08570657325343202| CS: ({'0': 0.54, '1': 0.63, '2': 0.26, '3': 0.44, '4': 0.23, '5': 0.56, '6': 0.3, '7': 0.54, '8': 0.47, '9': 0.58}, 0.45)
Train Epoch: 11 | Loss: 1.682222 | Acc: 0.3916| MSE: 0.0735 || V Loss: 2.1137| V Acc: 0.3070| V MSE: 0.0825| CS: ({'0': 0.5, '1': 0.69, '2': 0.26, '3': 0.41, '4': 0.29, '5': 0.47, '6': 0.27, '7': 0.66, '8': 0.49, '9': 0.6}, 0.46)
Test | NLL Loss: 2.162525 | Acc: 0.2788 | MSE: 0.084854937209108| CS: ({'0': 0.52, '1': 0.7, '2': 0.28, '3': 0.39, '4': 0.3, '5': 0.49, '6': 0.28, '7': 0.67, '8': 0.5, '9': 0.6}, 0.47)
Train Epoch: 12 | Loss: 1.688923 | Acc: 0.3828| MSE: 0.0733 || V Loss: 2.1476| V Acc: 0.2793| V MSE: 0.0839| CS: ({'0': 0.6, '1': 0.6, '2': 0.48, '3': 0.54, '4': 0.23, '5': 0.58, '6': 0.27, '7': 0.6, '8': 0.54, '9': 0.58}, 0.5)
Test | NLL Loss: 2.221252 | Acc: 0.2620 | MSE: 0.08669620690444788| CS: ({'0': 0.54, '1': 0.69, '2': 0.42, '3': 0.37, '4': 0.25, '5': 0.55, '6': 0.32, '7': 0.53, '8': 0.54, '9': 0.55}, 0.48)
Train Epoch: 13 | Loss: 1.630742 | Acc: 0.3997| MSE: 0.0717 || V Loss: 2.2476| V Acc: 0.3039| V MSE: 0.0846| CS: ({'0': 0.63, '1': 0.61, '2': 0.44, '3': 0.41, '4': 0.32, '5': 0.58, '6': 0.3, '7': 0.59, '8': 0.48, '9': 0.64}, 0.5)
Test | NLL Loss: 2.217118 | Acc: 0.2800 | MSE: 0.08585938718467474| CS: ({'0': 0.56, '1': 0.66, '2': 0.38, '3': 0.39, '4': 0.34, '5': 0.56, '6': 0.32, '7': 0.63, '8': 0.46, '9': 0.56}, 0.49)
Train Epoch: 14 | Loss: 1.604369 | Acc: 0.4115| MSE: 0.0709 || V Loss: 2.3683| V Acc: 0.2840| V MSE: 0.0877| CS: ({'0': 0.39, '1': 0.75, '2': 0.21, '3': 0.42, '4': 0.3, '5': 0.4, '6': 0.35, '7': 0.59, '8': 0.5, '9': 0.72}, 0.46)
Test | NLL Loss: 2.329876 | Acc: 0.2724 | MSE: 0.0872727282131061| CS: ({'0': 0.48, '1': 0.75, '2': 0.23, '3': 0.34, '4': 0.32, '5': 0.42, '6': 0.31, '7': 0.65, '8': 0.49, '9': 0.63}, 0.46)
Train Epoch: 15 | Loss: 1.578201 | Acc: 0.4180| MSE: 0.0701 || V Loss: 2.2270| V Acc: 0.2812| V MSE: 0.0840| CS: ({'0': 0.55, '1': 0.72, '2': 0.32, '3': 0.3, '4': 0.24, '5': 0.53, '6': 0.34, '7': 0.66, '8': 0.39, '9': 0.66}, 0.47)
Test | NLL Loss: 2.220699 | Acc: 0.2704 | MSE: 0.0854082862837627| CS: ({'0': 0.54, '1': 0.69, '2': 0.3, '3': 0.3, '4': 0.25, '5': 0.43, '6': 0.35, '7': 0.66, '8': 0.38, '9': 0.6}, 0.45)
Train Epoch: 16 | Loss: 1.574831 | Acc: 0.4167| MSE: 0.0703 || V Loss: 2.3144| V Acc: 0.2859| V MSE: 0.0876| CS: ({'0': 0.55, '1': 0.78, '2': 0.32, '3': 0.52, '4': 0.26, '5': 0.58, '6': 0.35, '7': 0.64, '8': 0.49, '9': 0.77}, 0.53)
Test | NLL Loss: 2.345024 | Acc: 0.2752 | MSE: 0.08791598737144622| CS: ({'0': 0.51, '1': 0.67, '2': 0.26, '3': 0.45, '4': 0.3, '5': 0.56, '6': 0.38, '7': 0.7, '8': 0.5, '9': 0.7}, 0.5)
Train Epoch: 17 | Loss: 1.535327 | Acc: 0.4388| MSE: 0.0686 || V Loss: 2.2851| V Acc: 0.2797| V MSE: 0.0856| CS: ({'0': 0.66, '1': 0.75, '2': 0.39, '3': 0.49, '4': 0.27, '5': 0.45, '6': 0.33, '7': 0.88, '8': 0.46, '9': 0.67}, 0.53)
Test | NLL Loss: 2.332384 | Acc: 0.2820 | MSE: 0.08656258033677793| CS: ({'0': 0.61, '1': 0.73, '2': 0.37, '3': 0.38, '4': 0.27, '5': 0.46, '6': 0.32, '7': 0.68, '8': 0.5, '9': 0.68}, 0.5)
Train Epoch: 18 | Loss: 1.521531 | Acc: 0.4399| MSE: 0.0679 || V Loss: 2.3944| V Acc: 0.2617| V MSE: 0.0874| CS: ({'0': 0.67, '1': 0.72, '2': 0.31, '3': 0.51, '4': 0.28, '5': 0.39, '6': 0.4, '7': 0.73, '8': 0.56, '9': 0.65}, 0.52)
Test | NLL Loss: 2.416372 | Acc: 0.2619 | MSE: 0.08832598053894866| CS: ({'0': 0.7, '1': 0.73, '2': 0.33, '3': 0.45, '4': 0.28, '5': 0.41, '6': 0.39, '7': 0.68, '8': 0.59, '9': 0.6}, 0.52)
Train Epoch: 19 | Loss: 1.489176 | Acc: 0.4499| MSE: 0.0669 || V Loss: 2.4451| V Acc: 0.2832| V MSE: 0.0882| CS: ({'0': 0.53, '1': 0.78, '2': 0.52, '3': 0.68, '4': 0.32, '5': 0.57, '6': 0.38, '7': 0.79, '8': 0.5, '9': 0.72}, 0.58)
Test | NLL Loss: 2.437891 | Acc: 0.2738 | MSE: 0.0885705994055294| CS: ({'0': 0.51, '1': 0.72, '2': 0.43, '3': 0.52, '4': 0.34, '5': 0.57, '6': 0.4, '7': 0.7, '8': 0.5, '9': 0.73}, 0.54)
Train Epoch: 20 | Loss: 1.456507 | Acc: 0.4596| MSE: 0.0659 || V Loss: 2.5247| V Acc: 0.2605| V MSE: 0.0909| CS: ({'0': 0.5, '1': 0.77, '2': 0.49, '3': 0.45, '4': 0.29, '5': 0.55, '6': 0.34, '7': 0.61, '8': 0.51, '9': 0.71}, 0.52)
Test | NLL Loss: 2.533402 | Acc: 0.2635 | MSE: 0.08974246947338786| CS: ({'0': 0.59, '1': 0.75, '2': 0.43, '3': 0.42, '4': 0.32, '5': 0.53, '6': 0.32, '7': 0.72, '8': 0.5, '9': 0.73}, 0.53)
Train Epoch: 21 | Loss: 1.441505 | Acc: 0.4627| MSE: 0.0650 || V Loss: 2.5907| V Acc: 0.2836| V MSE: 0.0908| CS: ({'0': 0.53, '1': 0.84, '2': 0.35, '3': 0.6, '4': 0.27, '5': 0.6, '6': 0.35, '7': 0.72, '8': 0.58, '9': 0.81}, 0.57)
Test | NLL Loss: 2.598155 | Acc: 0.2781 | MSE: 0.09082191447004342| CS: ({'0': 0.55, '1': 0.81, '2': 0.3, '3': 0.49, '4': 0.28, '5': 0.52, '6': 0.4, '7': 0.75, '8': 0.62, '9': 0.78}, 0.55)
Train Epoch: 22 | Loss: 1.450132 | Acc: 0.4759| MSE: 0.0651 || V Loss: 2.6205| V Acc: 0.2520| V MSE: 0.0922| CS: ({'0': 0.6, '1': 0.76, '2': 0.53, '3': 0.35, '4': 0.31, '5': 0.65, '6': 0.37, '7': 0.89, '8': 0.42, '9': 0.69}, 0.56)
Test | NLL Loss: 2.517025 | Acc: 0.2748 | MSE: 0.08909296932311865| CS: ({'0': 0.61, '1': 0.73, '2': 0.37, '3': 0.42, '4': 0.31, '5': 0.64, '6': 0.38, '7': 0.79, '8': 0.5, '9': 0.66}, 0.54)
Train Epoch: 23 | Loss: 1.405523 | Acc: 0.4802| MSE: 0.0638 || V Loss: 2.6442| V Acc: 0.2629| V MSE: 0.0910| CS: ({'0': 0.4, '1': 0.76, '2': 0.45, '3': 0.42, '4': 0.27, '5': 0.7, '6': 0.4, '7': 0.67, '8': 0.55, '9': 0.78}, 0.54)
Test | NLL Loss: 2.576738 | Acc: 0.2708 | MSE: 0.09003453930250753| CS: ({'0': 0.44, '1': 0.79, '2': 0.37, '3': 0.44, '4': 0.31, '5': 0.62, '6': 0.43, '7': 0.71, '8': 0.49, '9': 0.74}, 0.53)
Train Epoch: 24 | Loss: 1.343979 | Acc: 0.4920| MSE: 0.0618 || V Loss: 2.7136| V Acc: 0.3012| V MSE: 0.0916| CS: ({'0': 0.61, '1': 0.84, '2': 0.43, '3': 0.57, '4': 0.29, '5': 0.57, '6': 0.55, '7': 0.75, '8': 0.58, '9': 0.71}, 0.59)
Test | NLL Loss: 2.786759 | Acc: 0.2735 | MSE: 0.09331624540753258| CS: ({'0': 0.67, '1': 0.82, '2': 0.37, '3': 0.49, '4': 0.3, '5': 0.55, '6': 0.56, '7': 0.74, '8': 0.64, '9': 0.76}, 0.59)
Train Epoch: 25 | Loss: 1.383415 | Acc: 0.4909| MSE: 0.0627 || V Loss: 2.5286| V Acc: 0.2910| V MSE: 0.0890| CS: ({'0': 0.61, '1': 0.75, '2': 0.31, '3': 0.55, '4': 0.29, '5': 0.68, '6': 0.37, '7': 0.77, '8': 0.54, '9': 0.77}, 0.56)
Test | NLL Loss: 2.552745 | Acc: 0.2647 | MSE: 0.08986645068128268| CS: ({'0': 0.56, '1': 0.79, '2': 0.33, '3': 0.45, '4': 0.3, '5': 0.61, '6': 0.42, '7': 0.73, '8': 0.59, '9': 0.75}, 0.55)
Train Epoch: 26 | Loss: 1.336376 | Acc: 0.5094| MSE: 0.0614 || V Loss: 2.6402| V Acc: 0.2992| V MSE: 0.0897| CS: ({'0': 0.57, '1': 0.84, '2': 0.3, '3': 0.3, '4': 0.3, '5': 0.65, '6': 0.51, '7': 0.7, '8': 0.59, '9': 0.73}, 0.55)
Test | NLL Loss: 2.754295 | Acc: 0.2824 | MSE: 0.09137710805137317| CS: ({'0': 0.66, '1': 0.81, '2': 0.3, '3': 0.44, '4': 0.31, '5': 0.62, '6': 0.5, '7': 0.76, '8': 0.62, '9': 0.73}, 0.57)
Train Epoch: 27 | Loss: 1.327571 | Acc: 0.5054| MSE: 0.0610 || V Loss: 3.0700| V Acc: 0.2578| V MSE: 0.0962| CS: ({'0': 0.75, '1': 0.77, '2': 0.33, '3': 0.44, '4': 0.4, '5': 0.7, '6': 0.35, '7': 0.96, '8': 0.61, '9': 0.78}, 0.61)
Test | NLL Loss: 2.873673 | Acc: 0.2688 | MSE: 0.093832552528229| CS: ({'0': 0.74, '1': 0.77, '2': 0.32, '3': 0.47, '4': 0.38, '5': 0.63, '6': 0.44, '7': 0.74, '8': 0.65, '9': 0.77}, 0.59)
Train Epoch: 28 | Loss: 1.303444 | Acc: 0.5119| MSE: 0.0605 || V Loss: 2.8574| V Acc: 0.2680| V MSE: 0.0927| CS: ({'0': 0.63, '1': 0.76, '2': 0.46, '3': 0.46, '4': 0.3, '5': 0.6, '6': 0.38, '7': 0.74, '8': 0.65, '9': 0.78}, 0.58)
Test | NLL Loss: 2.773893 | Acc: 0.2797 | MSE: 0.09142624320218358| CS: ({'0': 0.69, '1': 0.76, '2': 0.54, '3': 0.47, '4': 0.31, '5': 0.59, '6': 0.43, '7': 0.75, '8': 0.61, '9': 0.76}, 0.59)
Train Epoch: 29 | Loss: 1.265756 | Acc: 0.5251| MSE: 0.0585 || V Loss: 3.0484| V Acc: 0.2605| V MSE: 0.0955| CS: ({'0': 0.63, '1': 0.83, '2': 0.48, '3': 0.5, '4': 0.33, '5': 0.73, '6': 0.35, '7': 0.86, '8': 0.51, '9': 0.73}, 0.59)
Test | NLL Loss: 2.911474 | Acc: 0.2768 | MSE: 0.09314420225378424| CS: ({'0': 0.68, '1': 0.81, '2': 0.44, '3': 0.5, '4': 0.35, '5': 0.63, '6': 0.42, '7': 0.76, '8': 0.59, '9': 0.77}, 0.59)
Train Epoch: 30 | Loss: 1.289285 | Acc: 0.5145| MSE: 0.0596 || V Loss: 2.8434| V Acc: 0.2652| V MSE: 0.0917| CS: ({'0': 0.6, '1': 0.82, '2': 0.42, '3': 0.57, '4': 0.29, '5': 0.63, '6': 0.34, '7': 0.74, '8': 0.53, '9': 0.74}, 0.57)
Test | NLL Loss: 2.879962 | Acc: 0.2689 | MSE: 0.09169890781561026| CS: ({'0': 0.63, '1': 0.75, '2': 0.41, '3': 0.47, '4': 0.31, '5': 0.56, '6': 0.35, '7': 0.79, '8': 0.6, '9': 0.75}, 0.56)
Train Epoch: 31 | Loss: 1.280062 | Acc: 0.5174| MSE: 0.0591 || V Loss: 3.0560| V Acc: 0.2684| V MSE: 0.0949| CS: ({'0': 0.66, '1': 0.7, '2': 0.33, '3': 0.54, '4': 0.39, '5': 0.59, '6': 0.34, '7': 0.8, '8': 0.63, '9': 0.78}, 0.58)
Test | NLL Loss: 2.956383 | Acc: 0.2610 | MSE: 0.09294107680122693| CS: ({'0': 0.68, '1': 0.82, '2': 0.35, '3': 0.44, '4': 0.35, '5': 0.58, '6': 0.39, '7': 0.78, '8': 0.63, '9': 0.79}, 0.58)
Train Epoch: 32 | Loss: 1.281503 | Acc: 0.5151| MSE: 0.0596 || V Loss: 3.1903| V Acc: 0.2352| V MSE: 0.0959| CS: ({'0': 0.68, '1': 0.85, '2': 0.56, '3': 0.53, '4': 0.38, '5': 0.6, '6': 0.36, '7': 0.85, '8': 0.55, '9': 0.77}, 0.61)
Test | NLL Loss: 2.958933 | Acc: 0.2580 | MSE: 0.09352954619894394| CS: ({'0': 0.64, '1': 0.82, '2': 0.51, '3': 0.47, '4': 0.37, '5': 0.61, '6': 0.4, '7': 0.8, '8': 0.6, '9': 0.76}, 0.6)
Train Epoch: 33 | Loss: 1.251515 | Acc: 0.5215| MSE: 0.0589 || V Loss: 3.4689| V Acc: 0.2758| V MSE: 0.0970| CS: ({'0': 0.71, '1': 0.89, '2': 0.39, '3': 0.99, '4': 0.37, '5': 0.72, '6': 0.38, '7': 0.76, '8': 0.58, '9': 0.79}, 0.66)
Test | NLL Loss: 3.184491 | Acc: 0.2752 | MSE: 0.09475311651207007| CS: ({'0': 0.73, '1': 0.8, '2': 0.42, '3': 0.59, '4': 0.36, '5': 0.68, '6': 0.44, '7': 0.78, '8': 0.62, '9': 0.79}, 0.62)
Train Epoch: 34 | Loss: 1.234664 | Acc: 0.5432| MSE: 0.0572 || V Loss: 3.1903| V Acc: 0.2797| V MSE: 0.0940| CS: ({'0': 0.66, '1': 0.84, '2': 0.45, '3': 0.5, '4': 0.37, '5': 0.7, '6': 0.53, '7': 0.85, '8': 0.58, '9': 0.77}, 0.62)
Test | NLL Loss: 3.134981 | Acc: 0.2806 | MSE: 0.09467231544157187| CS: ({'0': 0.71, '1': 0.82, '2': 0.39, '3': 0.5, '4': 0.35, '5': 0.67, '6': 0.51, '7': 0.79, '8': 0.6, '9': 0.79}, 0.61)
Train Epoch: 35 | Loss: 1.184757 | Acc: 0.5484| MSE: 0.0558 || V Loss: 3.3217| V Acc: 0.2836| V MSE: 0.0953| CS: ({'0': 0.59, '1': 0.84, '2': 0.33, '3': 0.56, '4': 0.48, '5': 0.7, '6': 0.46, '7': 0.79, '8': 0.61, '9': 0.75}, 0.61)
Test | NLL Loss: 3.277841 | Acc: 0.2636 | MSE: 0.09502460333866813| CS: ({'0': 0.65, '1': 0.81, '2': 0.39, '3': 0.5, '4': 0.37, '5': 0.66, '6': 0.49, '7': 0.81, '8': 0.6, '9': 0.76}, 0.6)
Train Epoch: 36 | Loss: 1.227797 | Acc: 0.5426| MSE: 0.0572 || V Loss: 3.0930| V Acc: 0.2461| V MSE: 0.0971| CS: ({'0': 0.63, '1': 0.89, '2': 0.56, '3': 0.68, '4': 0.42, '5': 0.61, '6': 0.46, '7': 0.97, '8': 0.63, '9': 0.76}, 0.66)
Test | NLL Loss: 3.157982 | Acc: 0.2659 | MSE: 0.09542925310687135| CS: ({'0': 0.6, '1': 0.79, '2': 0.47, '3': 0.55, '4': 0.39, '5': 0.62, '6': 0.45, '7': 0.76, '8': 0.62, '9': 0.78}, 0.6)
Train Epoch: 37 | Loss: 1.224386 | Acc: 0.5411| MSE: 0.0573 || V Loss: 3.2469| V Acc: 0.2719| V MSE: 0.0938| CS: ({'0': 0.67, '1': 0.85, '2': 0.57, '3': 0.64, '4': 0.31, '5': 0.64, '6': 0.42, '7': 0.8, '8': 0.65, '9': 0.7}, 0.63)
Test | NLL Loss: 3.202602 | Acc: 0.2678 | MSE: 0.0950998176162997| CS: ({'0': 0.68, '1': 0.79, '2': 0.5, '3': 0.57, '4': 0.32, '5': 0.63, '6': 0.43, '7': 0.74, '8': 0.65, '9': 0.79}, 0.61)
Train Epoch: 38 | Loss: 1.213574 | Acc: 0.5528| MSE: 0.0561 || V Loss: 3.1599| V Acc: 0.2687| V MSE: 0.0947| CS: ({'0': 0.75, '1': 0.8, '2': 0.67, '3': 0.56, '4': 0.36, '5': 0.56, '6': 0.45, '7': 0.84, '8': 0.73, '9': 0.84}, 0.66)
Test | NLL Loss: 3.154808 | Acc: 0.2658 | MSE: 0.0954564606991058| CS: ({'0': 0.67, '1': 0.78, '2': 0.44, '3': 0.52, '4': 0.33, '5': 0.59, '6': 0.44, '7': 0.76, '8': 0.73, '9': 0.81}, 0.61)
Train Epoch: 39 | Loss: 1.203608 | Acc: 0.5549| MSE: 0.0561 || V Loss: 3.4221| V Acc: 0.2410| V MSE: 0.0988| CS: ({'0': 0.75, '1': 0.8, '2': 0.7, '3': 0.64, '4': 0.38, '5': 0.73, '6': 0.53, '7': 0.73, '8': 0.6, '9': 0.83}, 0.67)
Test | NLL Loss: 3.425666 | Acc: 0.2593 | MSE: 0.09802698855773329| CS: ({'0': 0.74, '1': 0.84, '2': 0.41, '3': 0.63, '4': 0.35, '5': 0.65, '6': 0.51, '7': 0.77, '8': 0.66, '9': 0.8}, 0.64)
Train Epoch: 40 | Loss: 1.152633 | Acc: 0.5624| MSE: 0.0545 || V Loss: 3.3272| V Acc: 0.2687| V MSE: 0.0965| CS: ({'0': 0.71, '1': 0.92, '2': 0.44, '3': 0.45, '4': 0.38, '5': 0.71, '6': 0.53, '7': 0.63, '8': 0.61, '9': 0.72}, 0.61)
Test | NLL Loss: 3.334618 | Acc: 0.2667 | MSE: 0.09608037407977131| CS: ({'0': 0.66, '1': 0.83, '2': 0.43, '3': 0.53, '4': 0.38, '5': 0.68, '6': 0.53, '7': 0.74, '8': 0.64, '9': 0.79}, 0.62)
Train Epoch: 41 | Loss: 1.134269 | Acc: 0.5728| MSE: 0.0536 || V Loss: 3.4282| V Acc: 0.2582| V MSE: 0.0973| CS: ({'0': 0.65, '1': 0.86, '2': 0.62, '3': 0.4, '4': 0.44, '5': 0.79, '6': 0.56, '7': 0.78, '8': 0.56, '9': 0.71}, 0.64)
Test | NLL Loss: 3.371136 | Acc: 0.2663 | MSE: 0.0967685712364535| CS: ({'0': 0.68, '1': 0.84, '2': 0.49, '3': 0.48, '4': 0.38, '5': 0.7, '6': 0.59, '7': 0.8, '8': 0.63, '9': 0.76}, 0.64)
